"receipt_id","start_hour","start_day","start_week","start_weekday","warehouse_name","supplier_id","inbnd_type","sku_category_level_4_nm","sku_category_cnt","inbnd_duration_min"
"01003688760","13","29","22","4",РЦ СБЛ ВЛГ-2 WMS,a122042b-f9c7-11ea-8599-1c34dae33151,Хранение от поставщика,"Воды минеральные менее 0,8л",800.0,0.96662412244898
"01003688760","13","29","22","4",РЦ СБЛ ВЛГ-2 WMS,a122042b-f9c7-11ea-8599-1c34dae33151,Хранение от поставщика,"Воды минеральные от 0,8л до 3л",3120.0,3.76983407755102
"01003803919","8","30","31","3",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Вкусовые питьевые воды от 0,8л",1470.0,9.02094355957063
"01003803919","8","30","31","3",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,Негазированные питьевые воды от 3л,2190.0,13.4393648948705
"01003803919","8","30","31","3",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1008.0,6.18578986941986
"01003885056","9","5","36","5",РЦ СБЛ СМР,e9e96750-80a9-11eb-85a3-1c34dae33151,Хранение от поставщика,"Воды минеральные от 0,8л до 3л",2808.0,9.72378138811122
"01003885651","9","4","36","4",РЦ СБЛ НСК,"036140e6-3639-11f0-aa25-be3af2b6059f",Хранение от поставщика,Энергетические напитки,1512.0,0.909679833333333
"01003680376","9","26","22","1",РЦ СБЛ ВЛГ-2 WMS,"5c37154a-c40f-11ed-ae77-08c0eb320147",Хранение от поставщика,"Газированные напитки от 0,8л",804.0,1.5588407
"01003874154","5","4","36","4",РЦ СБЛ ВЛГ-2 WMS,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Хранение от поставщика,"Газированные напитки менее 0,8л",288.0,0.415844349903661
"01003776993","8","17","29","4",РЦ СБЛ ВЛГ-2 WMS,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Кросс-док,"Газированные напитки от 0,8л",1098.0,1.53989681666667
"01003885056","9","5","36","5",РЦ СБЛ СМР,e9e96750-80a9-11eb-85a3-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",1044.0,3.61525205455417
"01003601988","10","17","16","4",РЦ СБЛ ВЛГ-2 WMS,fe37e020-bf16-11ed-ae77-08c0eb320147,Хранение от поставщика,Морсы,96.0,0.301810767676768
"01003601988","10","17","16","4",РЦ СБЛ ВЛГ-2 WMS,fe37e020-bf16-11ed-ae77-08c0eb320147,Хранение от поставщика,"Соки и нектары более 0,5л и до 1,5л",300.0,0.943158648989899
"01003803919","8","30","31","3",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды менее 0,8л",3024.0,18.5573696082596
"01003885056","9","5","36","5",РЦ СБЛ СМР,e9e96750-80a9-11eb-85a3-1c34dae33151,Хранение от поставщика,"Газированные напитки от 0,8л",1254.0,4.34245792759668
"01003874154","5","4","36","4",РЦ СБЛ ВЛГ-2 WMS,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Хранение от поставщика,"Газированные напитки от 0,8л",2826.0,4.08047268342967
"01003840138","13","22","34","5",РЦ СБЛ РНД-2,a478fb2c-733c-11ea-bca4-0050560306e1,Хранение от поставщика,Энергетические напитки,1740.0,5.2148567
"01003803919","8","30","31","3",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки менее 0,8л",1152.0,7.06947413647984
"01003656220","9","15","20","4",РЦ СБЛ ВЛГ-2 WMS,fe37e020-bf16-11ed-ae77-08c0eb320147,Хранение от поставщика,Морсы,252.0,0.884833981818182
"01003885056","9","5","36","5",РЦ СБЛ СМР,e9e96750-80a9-11eb-85a3-1c34dae33151,Хранение от поставщика,Негазированные питьевые воды от 3л,1152.0,3.9892436464046
"01003803919","8","30","31","3",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Газированные напитки от 0,8л",360.0,2.20921066764995
"01003656220","9","15","20","4",РЦ СБЛ ВЛГ-2 WMS,fe37e020-bf16-11ed-ae77-08c0eb320147,Хранение от поставщика,"Соки и нектары более 0,5л и до 1,5л",540.0,1.89607281818182
"01003803919","8","30","31","3",РЦ СБЛ НН,f867fb96-d63d-11ea-8598-1c34dae33151,Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",3000.0,18.4100888970829
"01003792770","6","26","30","6",РЦ СБЛ ВЛГ-2 WMS,"20d10c55-606b-11ef-ae7a-08c0eb320147",Кросс-док,"Газированные напитки менее 0,8л",2304.0,5.34406468333333
"01003876869","4","12","37","5",РЦ СБЛ КСК,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Кросс-док,Энергетические напитки,1344.0,1.02795025
"01003837068","14","15","33","5",РЦ СБЛ ВЛГ-2 WMS,"5c37154a-c40f-11ed-ae77-08c0eb320147",Хранение от поставщика,"Газированные напитки от 0,8л",120.0,0.5326109
"01003878379","10","3","36","3",РЦ СБЛ ВЛГ-2 WMS,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1062.0,3.75361293672032
"01003870158","8","29","35","5",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Воды минеральные от 0,8л до 3л",4032.0,8.5139041037037
"01003843071","12","19","34","2",РЦ СБЛ СМР,f9b41e55-548c-11ea-879c-0050560306e1,Хранение от поставщика,"Газированные напитки менее 0,8л",1824.0,4.39777208333333
"01003585896","7","11","15","5",РЦ СБЛ ВЛГ-2 WMS,b816da60-c690-11ea-b7de-0050560306e1,Хранение от поставщика,"Квас менее 0,8л",45.0,0.370267319327731
"01003747733","8","30","27","1",РЦ СБЛ ВЛГ-2 WMS,"5c37154a-c40f-11ed-ae77-08c0eb320147",Хранение от поставщика,"Газированные напитки от 0,8л",720.0,4.01722066666667
"01003716871","11","14","24","6",РЦ СБЛ НН,e0126b4f-d4f1-11eb-85ac-1c34dae33151,Хранение от поставщика,"Квас от 0,8л",300.0,6.47750423850575
"01003634435","5","15","20","4",РЦ СДГ КСК,a478fb2c-733c-11ea-bca4-0050560306e1,Хранение от поставщика,Энергетические напитки,1596.0,6.31646113333333
"01003878379","10","3","36","3",РЦ СБЛ ВЛГ-2 WMS,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,Негазированные питьевые воды от 3л,1920.0,6.78619287994634
"01003591927","8","24","17","4",РЦ СДГ КСК,a478fb2c-733c-11ea-bca4-0050560306e1,Кросс-док,Энергетические напитки,1536.0,4.93938091666667
"01003870158","8","29","35","5",РЦ СБЛ ВЛГ-2 WMS,"29966288-1e27-11ed-885a-08c0eb32014b",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",504.0,1.06423801296296
"01003585896","7","11","15","5",РЦ СБЛ ВЛГ-2 WMS,b816da60-c690-11ea-b7de-0050560306e1,Хранение от поставщика,"Квас от 0,8л",312.0,2.56718674733894
"01003716871","11","14","24","6",РЦ СБЛ НН,e0126b4f-d4f1-11eb-85ac-1c34dae33151,Хранение от поставщика,"Газированные напитки менее 0,8л",48.0,1.03640067816092
"01003895157","11","14","37","0",РЦ СБЛ ВЛГ-2 WMS,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Хранение от поставщика,Энергетические напитки,2676.0,6.22255702717493
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные питьевые воды от 0,8л до 3л",1146.0,16.3491977890715
"01003857166","8","24","34","0",РЦ СБЛ НСК,a6ef32dc-76e3-11e9-80c5-0cc47a817925,Хранение от поставщика,"Вкусовые питьевые воды от 0,8л",144.0,1.38771322983051
"01003895656","7","11","37","4",РЦ СБЛ ВЛГ-2 WMS,dd0df3c5-e7cb-11ec-ae71-08c0eb320147,Хранение от поставщика,Негазированные питьевые воды от 3л,2160.0,11.8657653189655
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Газированные напитки от 0,8л",198.0,2.82473050805947
"01003895157","11","14","37","0",РЦ СБЛ ВЛГ-2 WMS,"3cd9aeaa-76f8-11ee-8860-08c0eb32014b",Хранение от поставщика,"Вкусовые питьевые воды менее 0,8л",1600.0,3.72051242282507
"01003637119","8","30","18","3",РЦ СБЛ ТМН,"875bbabf-ba1c-11eb-85ab-1c34dae33151",Кросс-док,"Газированные напитки менее 0,8л",120.0,0.427396619256658
"01003786573","8","17","29","4",РЦ СБЛ РНД-2,"8d590545-fff9-11eb-a0ee-ec0d9a21b021",Хранение от поставщика,"Негазированные питьевые воды от 0,8л до 3л",294.0,4.19429681499739
"01003750826","5","4","27","5",РЦ СБЛ ВЛГ-2 WMS,b816da60-c690-11ea-b7de-0050560306e1,Хранение от поставщика,"Квас от 0,8л",432.0,2.2447274
"01003879077","7","9","37","2",РЦ СБЛ КНД-3,"6876d873-0939-11ef-8861-08c0eb32014b",Хранение от поставщика,Холодный кофе,600.0,5.38837265
