"receipt_id","supplier_id","warehouse_name","inbnd_type","inbnd_duration_min","started_at","sku_cnt","category_level4_cnt","start_hour","start_week","start_weekday"
"01003713551","0bd913d9-4b82-11ec-85ad-1c34dae33151",РЦ СБЛ КСК,Хранение от поставщика,30.213205966666667,2025-06-11 02:50:21.046,3228.0,3,"2","24","3"
"01003785852",dd0df3c5-e7cb-11ec-ae71-08c0eb320147,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,22.792276066666666,2025-07-18 07:55:09.504,5688.0,3,"7","29","5"
"01003886725","88441339-b3d5-11ef-b973-08c0eb32008b",РЦ СБЛ КНД-3,Хранение от поставщика,19.23217161666667,2025-09-10 08:24:33.346,4872.0,2,"8","37","3"
"01003897285",c1ae6f0a-ee93-11ea-8599-1c34dae33151,РЦ СБЛ УФА-2,Хранение от поставщика,2.3539321,2025-09-17 12:13:09.804,2130.0,2,"12","38","3"
"01003662727","32b517cc-3d9f-11ee-ae78-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,7.614461983333333,2025-05-16 07:33:15.218,27216.0,1,"7","20","5"
"01003671769","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,8.097574266666667,2025-05-21 08:18:56.507,2880.0,1,"8","21","3"
"01003675180",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ ТМН,Кросс-док,3.13679255,2025-06-03 07:42:46.372,432.0,1,"7","23","2"
"01003689141",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,5.071774883333333,2025-06-02 07:24:00.710,948.0,1,"7","23","1"
"01003689167",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ КСК,Хранение от поставщика,2.899141333333333,2025-06-12 05:04:57.799,2400.0,1,"5","24","4"
"01003800892","67e22ba2-008a-11ee-885e-08c0eb32014b",РЦ СБЛ РНД-2,Хранение от поставщика,7.683064033333333,2025-07-28 13:11:44.071,208.0,1,"13","31","1"
"01003842983",c1ae6f0a-ee93-11ea-8599-1c34dae33151,РЦ СБЛ УФА-2,Хранение от поставщика,2.8573614000000003,2025-08-27 03:58:32.541,2025.0,1,"3","35","3"
"01003853328",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Хранение от поставщика,13.932300533333335,2025-08-23 07:20:46.521,402.0,2,"7","34","6"
"01003853332",ded9af41-bbef-11ec-8857-08c0eb32014b,РЦ СБЛ ТМН,Хранение от поставщика,12.95766515,2025-08-27 09:05:55.350,2244.0,1,"9","35","3"
"01003874712","1c8d2a76-0139-11ef-b10b-08c0eb31fffb",РЦ СБЛ КНД-3,Хранение от поставщика,18.015847366666666,2025-09-08 09:10:23.084,2898.0,2,"9","37","1"
"01003878618","718f5685-c732-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,8.799708433333333,2025-09-07 05:10:03.781,4520.0,1,"5","36","0"
"01003878880","0bd913d9-4b82-11ec-85ad-1c34dae33151",РЦ СБЛ НСК,Хранение от поставщика,11.368772716666665,2025-09-04 02:30:05.823,3534.0,7,"2","36","4"
"01003887429",fe37e020-bf16-11ed-ae77-08c0eb320147,РЦ СБЛ КНД-3,Хранение от поставщика,15.009001883333333,2025-09-13 12:21:32.810,2160.0,2,"12","37","6"
"01003902874",f867fb96-d63d-11ea-8598-1c34dae33151,РЦ СБЛ СМР,Хранение от поставщика,10.4605024,2025-09-16 04:29:12.611,4536.0,6,"4","38","2"
"01003902881",f867fb96-d63d-11ea-8598-1c34dae33151,РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,7.713530716666667,2025-09-16 08:11:50.839,1992.0,5,"8","38","2"
"01003907553","29966288-1e27-11ed-885a-08c0eb32014b",РЦ СБЛ НН,Хранение от поставщика,1.46724865,2025-09-16 05:45:22.544,1872.0,2,"5","38","2"
"01003513470",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Кросс-док,5.224993016666667,2025-03-13 06:03:05.081,2544.0,1,"6","11","4"
"01003583327","25aa0efd-d1be-11ea-b7de-0050560306e1",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,4.7434924,2025-04-07 05:44:27.351,2250.0,1,"5","15","1"
"01003642774",fe37e020-bf16-11ed-ae77-08c0eb320147,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,7.3032834499999995,2025-05-08 09:46:52.843,576.0,2,"9","19","4"
"01003708580",c1ae6f0a-ee93-11ea-8599-1c34dae33151,РЦ СБЛ НН,Хранение от поставщика,3.1116506166666666,2025-06-13 10:10:27.632,3480.0,2,"10","24","5"
"01003712975",fe37e020-bf16-11ed-ae77-08c0eb320147,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,1.45779165,2025-06-12 05:27:11.953,720.0,2,"5","24","4"
"01003716816",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Хранение от поставщика,12.648662683333333,2025-06-14 11:15:31.318,612.0,2,"11","24","6"
"01003801186","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ РНД-2,Хранение от поставщика,39.3160515,2025-07-24 10:42:13.725,5370.0,4,"10","30","4"
"01003807240","718f5685-c732-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,27.0922135,2025-08-03 06:45:04.056,5760.0,1,"6","31","0"
"01003831384",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ РНД-2,Хранение от поставщика,24.88169145,2025-08-14 11:52:45.554,3660.0,2,"11","33","4"
"01003851563","141f3c79-76a9-11eb-85a3-1c34dae33151",РЦ СБЛ НСК,Хранение от поставщика,11.9170631,2025-08-28 08:09:18.807,12096.0,1,"8","35","4"
"01003856724","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ РНД-2,Хранение от поставщика,42.29956425,2025-08-21 10:47:28.065,3924.0,4,"10","34","4"
"01003859814","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ РНД-2,Хранение от поставщика,4.273124516666667,2025-08-28 13:08:18.312,1527.0,2,"13","35","4"
"01003869517",dd0df3c5-e7cb-11ec-ae71-08c0eb320147,РЦ СБЛ РНД-2,Хранение от поставщика,140.149213,2025-08-27 08:40:23.911,8562.0,2,"8","35","3"
"01003869541",a122042b-f9c7-11ea-8599-1c34dae33151,РЦ СБЛ ВРЖ Нечаевка,Кросс-док,3.79489835,2025-09-01 10:02:32.362,3380.0,2,"10","36","1"
"01003879395",e9912507-fb18-11ee-b973-08c0eb32008b,РЦ СБЛ НСК,Кросс-док,2.3476941666666664,2025-09-17 04:09:28.531,1400.0,1,"4","38","3"
